transient_index,timestamp_s,strength,strength_rounded,frequency_hz,frequency_hz_rounded,frequency_band,wavelength_m,wavelength_m_rounded,rolloff_hz,rolloff_hz_rounded,rolloff_band,pitch_hz,pitch_hz_rounded,pitch_band
1,2.432,0.8752537,0.88,626.2506427092144,626.3,mid,0.5477040287194794,0.5477,1078.125,1078.1,mid,0.0,0.0,unvoiced
2,2.816,1.0,1.0,1167.3691436382815,1167.4,mid,0.29382308232937265,0.2938,2074.21875,2074.2,high,0.0,0.0,unvoiced
3,3.264,0.48966813,0.49,650.2745676596915,650.3,mid,0.5274694983604254,0.5275,1042.96875,1043.0,mid,0.0,0.0,unvoiced
4,3.626667,0.5989195,0.6,1058.9423278997579,1058.9,mid,0.323908102417896,0.3239,1957.03125,1957.0,mid,93.03444464945933,93.0,low
5,3.968,0.9001275,0.9,1131.07620468418,1131.1,mid,0.30325100871145344,0.3033,2003.90625,2003.9,high,0.0,0.0,unvoiced
6,4.330667,0.65003115,0.65,1160.9627111257562,1161.0,mid,0.29544445890721294,0.2954,2121.09375,2121.1,high,101.45478129445331,101.5,low
7,4.714667,0.80087864,0.8,853.5302694031842,853.5,mid,0.401860381870038,0.4019,1406.25,1406.2,mid,0.0,0.0,unvoiced
8,5.056,0.5679901,0.57,1192.2150207051952,1192.2,mid,0.28769978069653535,0.2877,2121.09375,2121.1,high,0.0,0.0,unvoiced
9,5.376,0.81467354,0.81,716.4969013845912,716.5,mid,0.47871805075105167,0.4787,1171.875,1171.9,mid,0.0,0.0,unvoiced
10,5.781333,0.22625446,0.23,1053.7439574329694,1053.7,mid,0.32550601840278537,0.3255,1910.15625,1910.2,mid,0.0,0.0,unvoiced
11,6.101333,0.6423804,0.64,904.5510158324653,904.6,mid,0.3791936485576045,0.3792,1558.59375,1558.6,mid,0.0,0.0,unvoiced
12,6.4,0.27789336,0.28,966.8002528786168,966.8,mid,0.3547785584237576,0.3548,1804.6875,1804.7,mid,0.0,0.0,unvoiced
13,6.677333,0.90799093,0.91,1056.5373700585415,1056.5,mid,0.3246454027281541,0.3246,1757.8125,1757.8,mid,0.0,0.0,unvoiced
14,7.104,0.15054327,0.15,705.6025352716041,705.6,mid,0.486109364485164,0.4861,1289.0625,1289.1,mid,0.0,0.0,unvoiced
15,7.424,0.9748626,0.97,1091.1158402231981,1091.1,mid,0.3143570896467199,0.3144,1980.46875,1980.5,mid,0.0,0.0,unvoiced
16,8.085333,0.40446255,0.4,611.3246029977312,611.3,mid,0.561076714920425,0.5611,1042.96875,1043.0,mid,0.0,0.0,unvoiced
17,8.448,0.18468255,0.18,713.5795311489878,713.6,mid,0.48067522263105,0.4807,1300.78125,1300.8,mid,0.0,0.0,unvoiced
18,8.768,0.749603,0.75,729.7289674193561,729.7,mid,0.4700375280605887,0.47,1136.71875,1136.7,mid,66.93519325188251,66.9,low
19,9.130667,0.5386273,0.54,770.9751763792093,771.0,mid,0.44489110740355814,0.4449,1207.03125,1207.0,mid,68.89654412432702,68.9,low
20,9.429333,0.69800097,0.7,1198.6804190552762,1198.7,mid,0.28614799620263326,0.2861,2226.5625,2226.6,high,0.0,0.0,unvoiced
21,9.962667,0.8802118,0.88,940.6841883439133,940.7,mid,0.36462821874773504,0.3646,1570.3125,1570.3,mid,0.0,0.0,unvoiced
22,10.282667,0.44151676,0.44,719.5366809105905,719.5,mid,0.4766956419315906,0.4767,1242.1875,1242.2,mid,0.0,0.0,unvoiced
23,10.581333,0.56689835,0.57,840.9660093808022,841.0,mid,0.4078642848508808,0.4079,1359.375,1359.4,mid,0.0,0.0,unvoiced
24,10.794667,0.14739867,0.15,766.2265035368647,766.2,mid,0.4476483108019998,0.4476,1371.09375,1371.1,mid,0.0,0.0,unvoiced
25,11.157333,0.7744557,0.77,863.8919652862558,863.9,mid,0.3970403867413501,0.397,1359.375,1359.4,mid,0.0,0.0,unvoiced
26,11.434667,0.36199328,0.36,911.8257575060488,911.8,mid,0.3761683602118737,0.3762,1464.84375,1464.8,mid,0.0,0.0,unvoiced
27,11.712,0.52785474,0.53,1022.1837760006078,1022.2,mid,0.33555609867143504,0.3356,1816.40625,1816.4,mid,0.0,0.0,unvoiced
28,11.925333,0.12271721,0.12,646.5812870783932,646.6,mid,0.5304824108811763,0.5305,1160.15625,1160.2,mid,0.0,0.0,unvoiced
29,12.202667,0.6733383,0.67,751.1148199765066,751.1,mid,0.45665454984729015,0.4567,1218.75,1218.8,mid,0.0,0.0,unvoiced
30,12.522667,0.4928557,0.49,667.8207559987188,667.8,mid,0.513610870759845,0.5136,1160.15625,1160.2,mid,0.0,0.0,unvoiced
31,12.8,0.7999475,0.8,1273.581320957691,1273.6,mid,0.26931927655948606,0.2693,2261.71875,2261.7,high,0.0,0.0,unvoiced
32,13.077333,0.4753783,0.48,1210.2329766709167,1210.2,mid,0.2834165046002276,0.2834,2156.25,2156.2,high,0.0,0.0,unvoiced
33,13.376,0.871163,0.87,1099.3357833843913,1099.3,mid,0.31200658177799656,0.312,2062.5,2062.5,high,0.0,0.0,unvoiced
34,13.610667,0.5279989,0.53,1060.7473166967798,1060.7,mid,0.3233569339285431,0.3234,1933.59375,1933.6,mid,0.0,0.0,unvoiced
35,13.973333,0.47006118,0.47,814.5260851509644,814.5,mid,0.4211037635908595,0.4211,1394.53125,1394.5,mid,0.0,0.0,unvoiced
36,14.144,0.6002298,0.6,933.8465367162255,933.8,mid,0.36729803721939575,0.3673,1535.15625,1535.2,mid,0.0,0.0,unvoiced
37,14.464,0.6544156,0.65,1041.962189910166,1042.0,mid,0.32918660899736885,0.3292,1816.40625,1816.4,mid,0.0,0.0,unvoiced
38,14.72,0.8154778,0.82,1104.4469031665003,1104.4,mid,0.31056268890482935,0.3106,1980.46875,1980.5,mid,0.0,0.0,unvoiced
39,14.997333,0.50369585,0.5,764.6764914975474,764.7,mid,0.4485557014159891,0.4486,1242.1875,1242.2,mid,0.0,0.0,unvoiced
40,15.274667,0.2613736,0.26,880.990058701412,881.0,mid,0.3893346997644734,0.3893,1640.625,1640.6,mid,96.87324609557632,96.9,low
41,15.573333,0.8377002,0.84,1146.4381326487908,1146.4,mid,0.29918753592704983,0.2992,2050.78125,2050.8,high,0.0,0.0,unvoiced
42,15.872,0.5580753,0.56,1195.200066125568,1195.2,mid,0.28698124248929247,0.287,2132.8125,2132.8,high,0.0,0.0,unvoiced
43,16.085333,0.72795737,0.73,1257.7887689247518,1257.8,mid,0.27270079720398605,0.2727,2156.25,2156.2,high,0.0,0.0,unvoiced
44,18.730667,0.11851203,0.12,438.76476213983244,438.8,mid,0.7817400794156925,0.7817,199.21875,199.2,low,106.252996181733,106.3,low
45,20.394667,0.10962428,0.11,1707.2768625926046,1707.3,mid,0.20090473169016856,0.2009,3316.40625,3316.4,high,0.0,0.0,unvoiced
