transient_index,timestamp_s,strength,strength_rounded,frequency_hz,frequency_hz_rounded,frequency_band,wavelength_m,wavelength_m_rounded,rolloff_hz,rolloff_hz_rounded,rolloff_band,pitch_hz,pitch_hz_rounded,pitch_band
1,0.032,1.0,1.0,1778.8024859579498,1778.8,mid,0.1928263552067626,0.1928,3632.8125,3632.8,high,0.0,0.0,unvoiced
2,0.373333,0.18886557,0.19,3775.9529972082164,3776.0,high,0.09083799513754541,0.0908,7875.0,7875.0,high,0.0,0.0,unvoiced
3,0.874667,0.18361533,0.18,3720.5439524361163,3720.5,high,0.09219082058563303,0.0922,7875.0,7875.0,high,0.0,0.0,unvoiced
4,1.376,0.17505856,0.18,4028.659532119371,4028.7,high,0.08513998198789383,0.0851,7992.1875,7992.2,high,0.0,0.0,unvoiced
5,1.866667,0.17342235,0.17,4046.438777776314,4046.4,high,0.08476589387285695,0.0848,8718.75,8718.8,high,0.0,0.0,unvoiced
6,2.368,0.17829402,0.18,3977.525372396356,3977.5,high,0.08623452219321769,0.0862,8343.75,8343.8,high,0.0,0.0,unvoiced
7,2.869333,0.22053854,0.22,4059.411919825213,4059.4,high,0.08449499749578718,0.0845,8460.9375,8460.9,high,0.0,0.0,unvoiced
8,3.370667,0.22794347,0.23,3888.744231400451,3888.7,high,0.08820328095388151,0.0882,7945.3125,7945.3,high,0.0,0.0,unvoiced
9,3.872,0.21470994,0.21,3954.700391474787,3954.7,high,0.08673223406238581,0.0867,8226.5625,8226.6,high,0.0,0.0,unvoiced
10,4.373333,0.1979016,0.2,4009.687765037239,4009.7,high,0.0855428203140437,0.0855,8062.5,8062.5,high,0.0,0.0,unvoiced
11,4.874667,0.19605209,0.2,3947.3312231173636,3947.3,high,0.08689415217837214,0.0869,7921.875,7921.9,high,0.0,0.0,unvoiced
12,5.376,0.18625052,0.19,3677.2567089512313,3677.3,high,0.09327605526289869,0.0933,7851.5625,7851.6,high,0.0,0.0,unvoiced
13,5.866667,0.18378027,0.18,3976.423021603764,3976.4,high,0.08625842827498313,0.0863,8507.8125,8507.8,high,0.0,0.0,unvoiced
14,6.368,0.19856215,0.2,3949.9873892648493,3950.0,high,0.08683572026892909,0.0868,8437.5,8437.5,high,0.0,0.0,unvoiced
15,6.869333,0.21158049,0.21,4119.062398047454,4119.1,high,0.08327137752576684,0.0833,8507.8125,8507.8,high,0.0,0.0,unvoiced
16,7.370667,0.23411734,0.23,4115.892720127833,4115.9,high,0.08333550539901996,0.0833,8484.375,8484.4,high,0.0,0.0,unvoiced
17,7.872,0.2239919,0.22,4317.596039109364,4317.6,high,0.07944235562870171,0.0794,8929.6875,8929.7,high,0.0,0.0,unvoiced
18,8.373333,0.2003933,0.2,4162.9324320287315,4162.9,high,0.08239384270593242,0.0824,8320.3125,8320.3,high,0.0,0.0,unvoiced
19,8.874667,0.20882083,0.21,3845.2432959123225,3845.2,high,0.08920111774581999,0.0892,7898.4375,7898.4,high,0.0,0.0,unvoiced
20,9.376,0.18484375,0.18,3827.853865458947,3827.9,high,0.08960634654710765,0.0896,7875.0,7875.0,high,0.0,0.0,unvoiced
21,9.866667,0.19394054,0.19,4077.970665606118,4078.0,high,0.08411046280761295,0.0841,8742.1875,8742.2,high,0.0,0.0,unvoiced
22,10.368,0.20586993,0.21,4190.855511978077,4190.9,high,0.08184486413803958,0.0818,8742.1875,8742.2,high,0.0,0.0,unvoiced
23,10.869333,0.2268682,0.23,4013.752331178687,4013.8,high,0.08545619452789552,0.0855,8648.4375,8648.4,high,0.0,0.0,unvoiced
24,11.370667,0.23462982,0.23,3681.081993864129,3681.1,high,0.0931791252060495,0.0932,7875.0,7875.0,high,76.88834637984607,76.9,low
25,11.872,0.22731768,0.23,4168.835939412877,4168.8,high,0.08227716441350455,0.0823,8718.75,8718.8,high,0.0,0.0,unvoiced
26,12.373333,0.21805511,0.22,3835.95988068706,3836.0,high,0.08941699357360462,0.0894,7875.0,7875.0,high,0.0,0.0,unvoiced
27,12.874667,0.20644683,0.21,4006.4656523686554,4006.5,high,0.08561161626263178,0.0856,8015.625,8015.6,high,70.91536696417685,70.9,low
28,13.322667,0.17671216,0.18,2357.876262073501,2357.9,high,0.14546988979751127,0.1455,4617.1875,4617.2,high,0.0,0.0,unvoiced
29,13.866667,0.17792186,0.18,4027.943445678832,4027.9,high,0.08515511814545697,0.0852,8507.8125,8507.8,high,0.0,0.0,unvoiced
30,14.368,0.1953286,0.2,4104.107835641683,4104.1,high,0.08357480206081658,0.0836,8578.125,8578.1,high,0.0,0.0,unvoiced
31,14.869333,0.22467169,0.22,4260.894258353279,4260.9,high,0.0804995334788149,0.0805,8906.25,8906.2,high,0.0,0.0,unvoiced
32,15.370667,0.23946081,0.24,3950.810087339679,3950.8,high,0.08681763800774407,0.0868,8085.9375,8085.9,high,0.0,0.0,unvoiced
