transient_index,timestamp_s,strength,strength_rounded,frequency_hz,frequency_hz_rounded,frequency_band,wavelength_m,wavelength_m_rounded,rolloff_hz,rolloff_hz_rounded,rolloff_band,pitch_hz,pitch_hz_rounded,pitch_band
1,0.06966,1.0,1.0,656.0510446904602,656.1,mid,0.5228251715715736,0.5228,968.994140625,969.0,mid,0.0,0.0,unvoiced
2,0.22059,0.3916262,0.39,810.703070037382,810.7,mid,0.42308955359473854,0.4231,1378.125,1378.1,mid,0.0,0.0,unvoiced
3,0.325079,0.4359505,0.44,951.2541865329366,951.3,mid,0.36057659966800454,0.3606,1485.791015625,1485.8,mid,0.0,0.0,unvoiced
4,0.429569,0.3811041,0.38,1081.33478176014,1081.3,mid,0.3172005615519762,0.3172,1679.58984375,1679.6,mid,0.0,0.0,unvoiced
5,1.056508,0.3955258,0.4,1164.9898723689626,1165.0,mid,0.2944231603511905,0.2944,1894.921875,1894.9,mid,0.0,0.0,unvoiced
6,1.277098,0.40651995,0.41,1199.9103550851871,1199.9,mid,0.28585468784928425,0.2859,2002.587890625,2002.6,high,0.0,0.0,unvoiced
7,1.393197,0.3946957,0.39,1211.164903163538,1211.2,mid,0.2831984307868326,0.2832,1959.521484375,1959.5,mid,0.0,0.0,unvoiced
8,2.414875,0.47962534,0.48,844.9015617443001,844.9,mid,0.4059644525829449,0.406,1399.658203125,1399.7,mid,0.0,0.0,unvoiced
9,2.612245,0.38290408,0.38,962.5650606700613,962.6,mid,0.35633954941313856,0.3563,1614.990234375,1615.0,mid,0.0,0.0,unvoiced
10,2.774785,0.4143462,0.41,1114.4492138117125,1114.4,mid,0.3077753528371641,0.3078,1937.98828125,1938.0,mid,0.0,0.0,unvoiced
11,4.167982,0.59016037,0.59,705.0551915753994,705.1,mid,0.4864867376319705,0.4865,1205.859375,1205.9,mid,0.0,0.0,unvoiced
12,4.400181,0.38302967,0.38,891.7690288645416,891.8,mid,0.38462874230643546,0.3846,1658.056640625,1658.1,mid,0.0,0.0,unvoiced
13,5.20127,0.4130884,0.41,1163.3041090649633,1163.3,mid,0.29484981384248304,0.2948,1851.85546875,1851.9,mid,0.0,0.0,unvoiced
14,5.944308,0.8196964,0.82,950.1331851808754,950.1,mid,0.361002020926891,0.361,1571.923828125,1571.9,mid,0.0,0.0,unvoiced
15,6.141678,0.4256831,0.43,1233.7496867193975,1233.7,mid,0.27801425499207566,0.278,1981.0546875,1981.1,mid,0.0,0.0,unvoiced
16,6.420317,0.43666503,0.44,1168.9489996015918,1168.9,mid,0.29342597505699847,0.2934,1916.455078125,1916.5,mid,0.0,0.0,unvoiced
17,7.105306,0.38628572,0.39,1006.8986729115296,1006.9,mid,0.34064996729828584,0.3406,1679.58984375,1679.6,mid,0.0,0.0,unvoiced
18,7.302676,0.40020564,0.4,1115.524803261316,1115.5,mid,0.30747859572213465,0.3075,1722.65625,1722.7,mid,0.0,0.0,unvoiced
19,8.510113,0.3893687,0.39,934.8054186811006,934.8,mid,0.3669212791726563,0.3669,1593.45703125,1593.5,mid,0.0,0.0,unvoiced
20,9.450522,0.4143677,0.41,1120.4652707215994,1120.5,mid,0.3061228303659086,0.3061,1851.85546875,1851.9,mid,0.0,0.0,unvoiced
21,10.669569,0.40282577,0.4,1088.725471286019,1088.7,mid,0.3150472814738533,0.315,1787.255859375,1787.3,mid,0.0,0.0,unvoiced
22,11.284898,0.405265,0.41,930.7625973946626,930.8,mid,0.36851502301457534,0.3685,1550.390625,1550.4,mid,0.0,0.0,unvoiced
23,11.784127,0.58909845,0.59,1096.3129077708359,1096.3,mid,0.31286688095046844,0.3129,1614.990234375,1615.0,mid,0.0,0.0,unvoiced
24,11.900227,0.434704,0.43,1210.8670042210174,1210.9,mid,0.283268103602064,0.2833,1959.521484375,1959.5,mid,0.0,0.0,unvoiced
25,12.097596,0.42810687,0.43,1045.2132944050381,1045.2,mid,0.3281626839574828,0.3282,1744.189453125,1744.2,mid,0.0,0.0,unvoiced
26,12.712925,0.40330595,0.4,1129.3026458175034,1129.3,mid,0.3037272614833041,0.3037,1873.388671875,1873.4,mid,0.0,0.0,unvoiced
27,13.455964,0.45713362,0.46,950.0007305566758,950.0,mid,0.36105235392715,0.3611,1528.857421875,1528.9,mid,0.0,0.0,unvoiced
28,13.560454,0.48403436,0.48,958.5221477144814,958.5,mid,0.3578425400162696,0.3578,1722.65625,1722.7,mid,0.0,0.0,unvoiced
29,13.757823,0.454642,0.45,1188.8265730251583,1188.8,mid,0.2885197957235949,0.2885,1959.521484375,1959.5,mid,0.0,0.0,unvoiced
30,14.082902,0.40159154,0.4,1186.0965446848193,1186.1,mid,0.28918387928627276,0.2892,2002.587890625,2002.6,high,0.0,0.0,unvoiced
