transient_index,timestamp_s,strength,strength_rounded,frequency_hz,frequency_hz_rounded,frequency_band,wavelength_m,wavelength_m_rounded,rolloff_hz,rolloff_hz_rounded,rolloff_band,pitch_hz,pitch_hz_rounded,pitch_band
1,0.03483,1.0,1.0,4617.915765104484,4617.9,high,0.07427593257371583,0.0743,8613.28125,8613.3,high,0.0,0.0,unvoiced
2,0.13932,0.4921665,0.49,3661.614810275788,3661.6,high,0.09367451732973674,0.0937,6029.296875,6029.3,high,0.0,0.0,unvoiced
3,0.499229,0.65037185,0.65,4182.5343430173825,4182.5,high,0.08200769482565717,0.082,8354.8828125,8354.9,high,0.0,0.0,unvoiced
4,0.986848,0.23534364,0.24,4442.007022246616,4442.0,high,0.0772173475373126,0.0772,8462.548828125,8462.5,high,0.0,0.0,unvoiced
5,1.114558,0.2528378,0.25,3995.1908490399037,3995.2,high,0.08585322027417723,0.0859,7579.6875,7579.7,high,0.0,0.0,unvoiced
6,1.277098,0.32149327,0.32,3945.6586718604676,3945.7,high,0.0869309863131845,0.0869,8354.8828125,8354.9,high,0.0,0.0,unvoiced
7,2.565805,0.29371783,0.29,4935.923420639974,4935.9,high,0.06949054326202003,0.0695,8957.8125,8957.8,high,0.0,0.0,unvoiced
8,3.297234,0.38906777,0.39,3719.13415993556,3719.1,high,0.09222576687202459,0.0922,7450.48828125,7450.5,high,0.0,0.0,unvoiced
9,3.541043,0.7911806,0.79,4064.549147099461,4064.5,high,0.08438820336193284,0.0844,8290.283203125,8290.3,high,0.0,0.0,unvoiced
10,3.900952,0.22312611,0.22,4428.264748329612,4428.3,high,0.07745697682808671,0.0775,8527.1484375,8527.1,high,0.0,0.0,unvoiced
11,4.028662,0.2527235,0.25,4426.103807908287,4426.1,high,0.07749479336366873,0.0775,8484.08203125,8484.1,high,0.0,0.0,unvoiced
12,4.156372,0.25665295,0.26,3961.4302186101054,3961.4,high,0.08658489007042106,0.0866,7536.62109375,7536.6,high,0.0,0.0,unvoiced
13,4.318912,0.33065623,0.33,3903.5814007008194,3903.6,high,0.08786802804686496,0.0879,8247.216796875,8247.2,high,0.0,0.0,unvoiced
14,5.607619,0.30245245,0.3,4991.455289038917,4991.5,high,0.06871743412251283,0.0687,9000.87890625,9000.9,high,67.32294488175604,67.3,low
15,6.339048,0.40004754,0.4,3684.146622459739,3684.1,high,0.093101614878453,0.0931,7342.822265625,7342.8,high,0.0,0.0,unvoiced
16,6.582857,0.79488266,0.79,4048.786480871702,4048.8,high,0.08471674207086174,0.0847,8290.283203125,8290.3,high,0.0,0.0,unvoiced
17,6.942766,0.22533247,0.23,4447.384940716181,4447.4,high,0.0771239738795278,0.0771,8527.1484375,8527.1,high,0.0,0.0,unvoiced
18,7.070476,0.2552617,0.26,4430.055576611661,4430.1,high,0.07742566522435015,0.0774,8484.08203125,8484.1,high,0.0,0.0,unvoiced
19,7.198186,0.26835364,0.27,3915.942976211976,3915.9,high,0.08759065238784337,0.0876,7450.48828125,7450.5,high,0.0,0.0,unvoiced
20,7.360726,0.34780598,0.35,3945.6875176481194,3945.7,high,0.08693035078572309,0.0869,8354.8828125,8354.9,high,0.0,0.0,unvoiced
21,8.684263,0.3231669,0.32,5107.859106996766,5107.9,high,0.0671514215280835,0.0672,9151.611328125,9151.6,high,0.0,0.0,unvoiced
22,9.380862,0.38891697,0.39,3673.898264079506,3673.9,high,0.09336132231901596,0.0934,7342.822265625,7342.8,high,0.0,0.0,unvoiced
23,9.624671,0.8034031,0.8,4070.21690871887,4070.2,high,0.08427069310857974,0.0843,8290.283203125,8290.3,high,0.0,0.0,unvoiced
24,9.98458,0.22125168,0.22,4436.430318207258,4436.4,high,0.07731441167740571,0.0773,8527.1484375,8527.1,high,0.0,0.0,unvoiced
25,10.11229,0.25822935,0.26,4406.073308064311,4406.1,high,0.07784709332280441,0.0778,8462.548828125,8462.5,high,0.0,0.0,unvoiced
26,10.24,0.26532605,0.27,3919.356164546534,3919.4,high,0.08751437368787453,0.0875,7407.421875,7407.4,high,0.0,0.0,unvoiced
27,10.40254,0.35250667,0.35,3935.4016540555726,3935.4,high,0.08715755852938828,0.0872,8333.349609375,8333.3,high,0.0,0.0,unvoiced
28,11.679637,0.28942138,0.29,4988.00676985458,4988.0,high,0.068764942756884,0.0688,9108.544921875,9108.5,high,0.0,0.0,unvoiced
29,12.422676,0.39504844,0.4,3639.1492927871795,3639.1,high,0.09425279712481939,0.0943,7299.755859375,7299.8,high,0.0,0.0,unvoiced
