transient_index,timestamp_s,strength,strength_rounded
1,0.032,1.0,1.0
2,0.373333,0.18886557,0.19
3,0.874667,0.18361533,0.18
4,1.376,0.17505856,0.18
5,1.866667,0.17342235,0.17
6,2.368,0.17829402,0.18
7,2.869333,0.22053854,0.22
8,3.370667,0.22794347,0.23
9,3.872,0.21470994,0.21
10,4.373333,0.1979016,0.2
11,4.874667,0.19605209,0.2
12,5.376,0.18625052,0.19
13,5.866667,0.18378027,0.18
14,6.368,0.19856215,0.2
15,6.869333,0.21158049,0.21
16,7.370667,0.23411734,0.23
17,7.872,0.2239919,0.22
18,8.373333,0.2003933,0.2
19,8.874667,0.20882083,0.21
20,9.376,0.18484375,0.18
21,9.866667,0.19394054,0.19
22,10.368,0.20586993,0.21
23,10.869333,0.2268682,0.23
24,11.370667,0.23462982,0.23
25,11.872,0.22731768,0.23
26,12.373333,0.21805511,0.22
27,12.874667,0.20644683,0.21
28,13.322667,0.17671216,0.18
29,13.866667,0.17792186,0.18
30,14.368,0.1953286,0.2
31,14.869333,0.22467169,0.22
32,15.370667,0.23946081,0.24
