transient_index,timestamp_s,strength,strength_rounded
1,0.03483,1.0,1.0
2,0.12771,0.3816311,0.38
3,0.499229,0.65037185,0.65
4,0.986848,0.23534364,0.24
5,1.277098,0.32149327,0.32
6,1.335147,0.27254608,0.27
7,2.565805,0.29371783,0.29
8,3.285624,0.2776757,0.28
9,3.541043,0.7911806,0.79
10,4.028662,0.2527235,0.25
11,4.318912,0.33065623,0.33
12,4.376961,0.27137065,0.27
13,5.607619,0.30245245,0.3
14,6.327438,0.29113978,0.29
15,6.420317,0.20080754,0.2
16,6.582857,0.79488266,0.79
17,7.070476,0.2552617,0.26
18,7.360726,0.34780598,0.35
19,7.418776,0.26901656,0.27
20,9.369252,0.24573041,0.25
21,9.624671,0.8034031,0.8
22,10.11229,0.25822935,0.26
23,10.40254,0.35250667,0.35
24,12.411066,0.31348774,0.31
